,ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
426,444,Albany Ave & 26th St,Albany Ave & 26th St,11,11,In Service,41.844475014,-87.702013013,"(41.84447501366, -87.7020130128)"
427,523,Eastlake Ter & Rogers Ave,Eastlake Ter & Rogers Ave,15,15,In Service,42.021019,-87.665086,"(42.021019, -87.665086)"
428,511,Albany Ave & Bloomingdale Ave,Albany Ave & Bloomingdale Ave,14,14,In Service,41.914026713,-87.705126462,"(41.91402671273, -87.705126462)"
429,407,State St & Pershing Rd,State St & Pershing Rd,11,11,In Service,41.823015238,-87.626568018,"(41.82301523798, -87.6265680185)"
430,440,Central Park Ave & 24th St,Central Park Ave & 24th St,11,10,In Service,41.8481,-87.715068,"(41.8481, -87.715068)"
431,538,Cicero Ave & Flournoy St,Cicero Ave & Flournoy St,11,10,In Service,41.872131,-87.746619,"(41.872131, -87.746619)"
432,490,Troy St & Elston Ave,Troy St & Elston Ave,15,15,In Service,41.945243568,-87.706649901,"(41.94524356848, -87.7066499009)"
433,436,Fairfield Ave & Roosevelt Rd,Fairfield Ave & Roosevelt Rd,11,11,In Service,41.866624,-87.694521,"(41.866624, -87.694521)"
434,578,Bennett Ave & 79th St,Bennett Ave & 79th St,11,11,In Service,41.751785,-87.578496,"(41.751785, -87.578496)"
435,188,Greenview Ave & Fullerton Ave,Greenview Ave & Fullerton Ave,15,15,In Service,41.92533,-87.6658,"(41.92533, -87.6658)"
436,239,Western Ave & Leland Ave,Western Ave & Leland Ave,19,19,In Service,41.966555,-87.688487,"(41.966555, -87.688487)"
437,279,Halsted St & 35th St (*),Halsted St & 35th St (*),16,16,In Service,41.830661,-87.647172,"(41.830661, -87.647172)"
438,230,Lincoln Ave & Roscoe St,Lincoln Ave & Roscoe St,19,19,In Service,41.94334,-87.67097,"(41.94334, -87.67097)"
439,462,Winchester (Ravenswood) Ave & Balmoral Ave,Winchester (Ravenswood) Ave & Balmoral Ave,15,15,In Service,41.979762,-87.67753,"(41.979762, -87.67753)"
440,53,Wells St & Huron St,Wells St & Huron St,27,27,In Service,41.894722,-87.634362,"(41.894722, -87.634362)"
441,57,Clinton St & Roosevelt Rd,559 W Roosevelt Rd,15,15,In Service,41.867117783,-87.641087959,"(41.8671177825, -87.6410879593)"
442,107,Desplaines St & Jackson Blvd,Desplaines St & Jackson Blvd,27,26,In Service,41.878287,-87.643909,"(41.878287, -87.643909)"
