,SYSTEMSTOP,OBJECTID,the_geom,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,Longitude,Latitude
8957,9896,8614,POINT (-87.79500199900002 41.99019700000002),NORTHWEST HWY,NEOLA,NWB,NS,68,,CHICAGO,1,Northwest Hwy & Neola,-87.795002,41.990197
8958,2463,8615,POINT (-87.60437429400002 41.723957986000016),COTTAGE GROVE,LYON,NB,NT,"4,N5,95",N5,CHICAGO,1,Cottage Grove & Lyon,-87.60437429,41.72395799
8959,6146,8616,POINT (-87.662077496 41.719079479000015),BEVERLY,9600 SOUTH,NB,MB,9,,CHICAGO,1,9600 S Beverly,-87.6620775,41.71907948
8960,1945,8617,POINT (-87.66822739700001 41.98159659999999),CLARK,CATALPA,NB,NS,22,N22,CHICAGO,1,Clark & Catalpa,-87.6682274,41.9815966
8961,4196,8618,POINT (-87.695742827 41.86473032599997),CALIFORNIA,1303 SOUTH,NB,MB,94,,CHICAGO,1,1303 S California,-87.69574283,41.86473033
8962,4180,8619,POINT (-87.69500120700002 41.838533084000005),CALIFORNIA,30TH STREET,NB,NS,94,,CHICAGO,1,California & 30th Street,-87.69500121,41.83853308
8963,10436,8620,POINT (-87.74764383299998 42.017997535000006),SKOKIE BLVD,LINCOLN,NB,NS,54A,,SKOKIE,1,Skokie Blvd & Lincoln,-87.74764383,42.01799754
8964,4934,8621,POINT (-87.649794203 41.96026381600001),CLARENDON,JUNIOR TERRACE(south leg),NB,NT,"135,148",,CHICAGO,1,Clarendon & Junior Terrace,-87.6497942,41.96026382
8965,6148,8622,POINT (-87.66254099999998 41.72292399999998),ASHLAND,94TH STREET,NB,NS,9,N9,CHICAGO,1,Ashland & 94th Street,-87.662541,41.722924
8966,1564,8623,POINT (-87.623114999 41.84060199999999),MICHIGAN,3000 SOUTH,NB,MB,"1,4",N4,CHICAGO,1,3000 S Michigan,-87.623115,41.840602
8967,4698,8624,POINT (-87.72110608899999 41.720775984),PULASKI,95TH STREET,NB,FS,53A,,EVERGREEN PARK,1,Pulaski & 95th Street,-87.72110609,41.72077598
8968,14367,8625,POINT (-87.69924948200003 42.03256526299998),DODGE,WASHINGTON (north leg),NB,NS,"93,206",,EVANSTON,2,Dodge & Washington,-87.69924948,42.03256526
8969,6744,8626,POINT (-87.717762 41.858885999999984),16TH STREET,LAWNDALE,EB,NS,18,,CHICAGO,1,16th Street & Lawndale,-87.717762,41.858886
8970,6915,8627,POINT (-87.71749535700002 41.851563607),CERMAK,LAWNDALE,EB,NS,21,,CHICAGO,1,Cermak & Lawndale,-87.71749536,41.85156361
8971,9694,8628,POINT (-87.787813589 41.96847297199997),GUNNISON,NAGLE,WB,NS,81W,,CHICAGO,1,Gunnison & Nagle,-87.78781359,41.96847297
8972,12598,8629,POINT (-87.754337598 41.946120638000025),ADDISON,LECLAIRE,WB,NS,152,,CHICAGO,1,Addison & Leclaire,-87.7543376,41.94612064
8973,16048,8630,POINT (-87.60140535900001 41.73676155999999),87TH STREET,INGLESIDE,WB,FS,87,,CHICAGO,1,87th Street & Dauphin/Ingleside,-87.60140536,41.73676156
8974,4120,8631,POINT (-87.71505020500001 41.917360062),ARMITAGE,DRAKE,WB,NS,73,,CHICAGO,1,Armitage & Drake,-87.71505021,41.91736006
8975,3546,8632,POINT (-87.74370155999998 42.026349547999985),OAKTON,KNOX,WB,NS,97,,SKOKIE,1,Oakton & Knox,-87.74370156,42.02634955
8976,3223,8633,POINT (-87.61859500000003 41.78024799999997),63RD STREET,PRAIRIE,WB,NS,63,N63,CHICAGO,1,63rd Street & Prairie,-87.618595,41.780248
8977,4828,8634,POINT (-87.733388499 41.97554205),FOSTER,KEELER,WB,MT,92,,CHICAGO,1,Foster & Keeler,-87.7333885,41.97554205
8978,5677,8635,POINT (-87.65643438199999 41.954523268),IRVING PARK,KENMORE,WB,FS,80,,CHICAGO,1,Irving Park & Kenmore,-87.65643438,41.95452327
8979,506,8636,POINT (-87.76638886400002 41.880310565),MADISON,PARKSIDE,WB,NS,20,N20,CHICAGO,1,Madison & Parkside,-87.76638886,41.88031057
8980,2678,8637,POINT (-87.69980700000002 41.74990300100001),79TH STREET,ALBANY,WB,NT,79,,CHICAGO,1,79th Street & Albany,-87.699807,41.749903
8981,429,8638,POINT (-87.67424663399999 41.88129673499998),MADISON,UNITED CENTER (1900W),EB,MB,20,N20,CHICAGO,1,Madison & United Center (1900 W),-87.67424663,41.88129674
8982,9247,8639,POINT (-87.77870969600002 41.93838831300002),BELMONT,MEADE,EB,NS,77,N77,CHICAGO,1,Belmont & Meade,-87.7787097,41.93838831
8983,12481,8640,POINT (-87.79854099900001 41.945370000000025),ADDISON,NEW ENGLAND,EB,NS,152,,CHICAGO,1,Addison & New England,-87.798541,41.94537
8984,710,8641,POINT (-87.70957966600002 41.89939913799998),GRAND,AUGUSTA,EB,NS,65,,CHICAGO,6,Grand & Augusta,-87.70957967,41.89939914
8985,12013,8642,POINT (-87.57052758700002 41.72624514199998),93RD STREET,PAXTON,WB,NS,"N5,95",N5,CHICAGO,1,93rd Street & Paxton,-87.57052759,41.72624514
8986,2076,8643,POINT (-87.70903742399997 41.90288135100002),DIVISION,SPAULDING,WB,NS,70,,CHICAGO,1,Division & Spaulding,-87.70903742,41.90288135
8987,351,8644,POINT (-87.69330209499998 41.866634831),ROOSEVELT,WASHTENAW,WB,NS,12,,CHICAGO,1,Roosevelt & Washtenaw,-87.6933021,41.86663483
8988,6636,8645,POINT (-87.66883638399997 41.86929441900003),TAYLOR,PAULINA,WB,NS,157,,CHICAGO,1,Taylor & Paulina,-87.66883638,41.86929442
8989,665,8646,POINT (-87.767663078 41.89489832300001),CHICAGO,WALLER,WB,NS,66,,CHICAGO,1,Chicago & Waller,-87.76766308,41.89489832
8990,10859,8647,POINT (-87.57114101100001 41.75899085499998),75TH STREET,PAXTON,WB,NS,"N5,75",N5,CHICAGO,1,75th Street & Paxton,-87.57114101,41.75899086
8991,3461,8648,POINT (-87.645437001 41.72152999999997),95TH STREET,PEORIA,WB,NS,"N9,95,112",N9,CHICAGO,1,95th Street & Peoria,-87.645437,41.72153
8992,7797,8649,POINT (-87.709222071 41.822575938),PERSHING,HOMAN,WB,NS,39,,CHICAGO,1,Pershing & Homan,-87.70922207,41.82257594
8993,15134,8650,POINT (-87.718915186 41.89551108500001),CHICAGO,LAWNDALE,WB,FS,66,N66,CHICAGO,1,Chicago & Lawndale,-87.71891519,41.89551109
8994,4244,8651,POINT (-87.69585899999998 41.86258600000002),CALIFORNIA,14TH STREET,SB,MT,94,,CHICAGO,1,California & 14th Street,-87.695859,41.862586
8995,7663,8652,POINT (-87.67049999900001 41.8304),35TH STREET,WOOD,EB,NS,35,,CHICAGO,1,35th Street & Wood,-87.6705,41.8304
8996,870,8653,POINT (-87.74636965299999 41.90951085400002),NORTH AVENUE,CICERO,EB,NS,72,,CHICAGO,1,North Ave & Cicero,-87.74636965,41.90951085
