,Indicator,Latitude,Longitude
908,parking,41.8687704667,-87.6546152111
909,place_of_worship,41.867530624,-87.65468338
910,parking,41.8676139,-87.6560319917
911,arts_centre,41.8035452857,-87.5867976857
912,bank,41.8666860923,-87.6532598538
913,fountain,41.7867475762,-87.6076514286
914,place_of_worship,41.7916688588,-87.5969417706
915,parking,41.8007643774,-87.6112723097
916,parking,41.7904490091,-87.5961153182
917,place_of_worship,41.7930567692,-87.5968888769
918,place_of_worship,41.7958257,-87.5954405121
919,place_of_worship,41.8667922923,-87.6476982769
920,parking,41.8762949571,-87.6295385143
921,parking,41.7911545167,-87.5873630083
922,fire_station,41.8971003333,-87.6225900667
923,place_of_worship,41.8946770467,-87.6263213267
924,place_of_worship,41.7825291923,-87.5966614923
925,place_of_worship,41.7920099462,-87.5904693538
926,place_of_worship,41.778453281,-87.5956667762
927,place_of_worship,41.7837705,-87.5928235273
928,place_of_worship,41.8005719,-87.5985736
929,place_of_worship,41.7998111864,-87.5900676727
930,parking,41.7858503222,-87.5875789833
931,library,41.78472612,-87.59360494
932,shelter,41.78250016,-87.59157508
933,parking,41.8004198455,-87.6070954636
934,parking,41.7934644625,-87.6140768
935,pharmacy,41.799800075,-87.594755825
936,parking,41.7997032,-87.595601775
937,place_of_worship,41.8977586875,-87.625712175
938,library,41.9002103024,-87.6307479805
939,place_of_worship,41.794821155,-87.597435175
940,place_of_worship,41.80109004,-87.58652412
941,parking,41.7985876818,-87.5880370727
942,parking,41.7985806125,-87.5875701625
943,parking,41.7983362714,-87.5883705571
944,university,41.8973168458,-87.6265481375
945,grave_yard,41.68314984,-87.74870626
946,university,41.8971800714,-87.6272417286
947,place_of_worship,41.7917284882,-87.5978212382
948,parking,41.8041014364,-87.5850081364
949,parking,41.8049451292,-87.5859141917
950,parking,41.7955789652,-87.5959148
951,parking,41.7853387765,-87.5926468412
952,institute,41.7846772143,-87.5926547429
953,parking,42.0317716,-87.67690404
954,parking,42.0307286,-87.67671584
955,parking,41.88529632,-87.63040193
956,place_of_worship,41.8870568333,-87.6259864667
957,fuel,41.80271184,-87.58677332
958,place_of_worship,41.8008393308,-87.5849527077
959,place_of_worship,41.8045036789,-87.5914274158
960,place_of_worship,41.890555275,-87.6364212125
961,place_of_worship,41.88239225,-87.6314622167
962,place_of_worship,41.88158692,-87.63127122
963,university,41.7978587,-87.5850372
964,university,41.7977973,-87.5860139687
965,place_of_worship,41.9870732692,-87.6563734385
966,parking,41.7996911,-87.59144694
967,parking,41.7948012143,-87.5968995143
968,parking,41.8093233667,-87.5951549222
969,parking,41.8789996667,-87.6257409556
970,parking,41.87669802,-87.62660476
971,parking,41.8775143154,-87.6265587077
972,parking,41.8792821,-87.62655696
973,university,41.7852780848,-87.6005204761
974,university,41.7906257828,-87.5958519483
975,parking,41.7845865667,-87.5986181267
976,pharmacy,41.8155655,-87.8332185571
977,parking,41.7813668947,-87.5871312053
978,toilets,41.81707606,-87.59403976
979,parking,41.87477682,-87.62556604
980,parking,41.8753233875,-87.62545545
981,parking,41.8761446125,-87.626503175
982,parking,41.8826871545,-87.6334546636
983,parking,41.8835709571,-87.6348951
984,place_of_worship,41.88347908,-87.63334682
985,fast_food,41.8008642,-87.58809416
986,parking,41.87341426,-87.62564924
987,parking,41.87499462,-87.62658664
988,parking,41.8740247833,-87.6270198167
989,theatre,41.8734186,-87.62533194
990,parking,41.8728441,-87.62538676
991,parking,41.87706383,-87.63585185
992,parking,41.8854391,-87.63347835
993,parking,41.88610884,-87.62581156
994,parking,41.8848351833,-87.63438975
995,fast_food,41.8853866833,-87.6351863333
996,parking,41.8848392333,-87.6258460333
997,restaurant,41.8803688833,-87.6301374667
998,place_of_worship,41.7927972824,-87.5961998235
999,place_of_worship,41.87870646,-87.6272921
1000,parking,41.87597842,-87.63108414
1001,restaurant,41.8811573833,-87.6268656333
1002,parking,41.87141365,-87.63018226
1003,parking,41.87146998,-87.62895383
1004,parking,41.8740974,-87.62893322
1005,parking,41.8101559857,-87.5942499457
1006,parking,41.8100244538,-87.5923742308
1007,parking,41.8088928364,-87.5923613545
1008,place_of_worship,41.8167308125,-87.596743475
1009,parking,41.8052891727,-87.5852557909
1010,parking,41.8050653231,-87.5851839308
1011,parking,41.8056832143,-87.5857232429
1012,parking,41.8037887704,-87.5870496519
1013,parking,41.80467119,-87.58507252
1014,parking,41.8029156444,-87.5859622222
1015,parking,41.8039184,-87.58600915
1016,parking,41.8059858214,-87.5897357643
1017,parking,41.8028906677,-87.5885702645
1018,parking,41.8039009105,-87.5888646211
1019,parking,41.87015004,-87.62790117
1020,biergarten,41.88734968,-87.62673684
1021,parking,41.88655816,-87.6257553
1022,parking,41.89822034,-87.61942516
1023,parking,41.8773581545,-87.6400995455
