,STOP_ID,STOP_NAME,STATION_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Latitude,Longitude
125,30235,Fullerton (Kimball-Linden-bound),Fullerton,41220,True,False,False,False,True,False,True,False,False,False,"(41.925051, -87.652866)",41.925051,-87.652866
126,30233,Fullerton (Howard-bound),Fullerton,41220,True,True,False,False,False,False,False,False,False,False,"(41.925051, -87.652866)",41.925051,-87.652866
127,30100,Garfield (63rd-bound),Garfield,40510,True,False,False,True,False,False,False,False,False,False,"(41.795172, -87.618327)",41.795172,-87.618327
128,30224,Garfield (95th-bound),Garfield,41170,True,True,False,False,False,False,False,False,False,False,"(41.79542, -87.631157)",41.79542,-87.631157
129,30223,Garfield (Howard-bound),Garfield,41170,True,True,False,False,False,False,False,False,False,False,"(41.79542, -87.631157)",41.79542,-87.631157
130,30099,Garfield (Harlem-bound),Garfield,40510,True,False,False,True,False,False,False,False,False,False,"(41.795172, -87.618327)",41.795172,-87.618327
131,30096,Grand/Milwaukee (Forest Pk-bound),Grand,40490,False,False,True,False,False,False,False,False,False,False,"(41.891189, -87.647578)",41.891189,-87.647578
132,30064,Grand/State (Howard-bound),Grand,40330,True,True,False,False,False,False,False,False,False,False,"(41.891665, -87.628021)",41.891665,-87.628021
133,30065,Grand/State (95th-bound),Grand,40330,True,True,False,False,False,False,False,False,False,False,"(41.891665, -87.628021)",41.891665,-87.628021
134,30095,Grand/Milwaukee (O'Hare-bound),Grand,40490,False,False,True,False,False,False,False,False,False,False,"(41.891189, -87.647578)",41.891189,-87.647578
135,30148,Granville (95th-bound),Granville,40760,True,True,False,False,False,False,False,False,False,False,"(41.993664, -87.659202)",41.993664,-87.659202
136,30147,Granville (Howard-bound),Granville,40760,True,True,False,False,False,False,False,False,False,False,"(41.993664, -87.659202)",41.993664,-87.659202
137,30183,Halsted/63rd (Harlem-bound),Halsted,40940,True,False,False,True,False,False,False,False,False,False,"(41.778943, -87.644244)",41.778943,-87.644244
138,30216,Halsted (Midway-bound),Halsted,41130,True,False,False,False,False,False,False,False,False,True,"(41.84678, -87.648088)",41.84678,-87.648088
139,30184,Halsted/63rd (Ashland-bound),Halsted,40940,True,False,False,True,False,False,False,False,False,False,"(41.778943, -87.644244)",41.778943,-87.644244
140,30215,Halsted (Loop-bound),Halsted,41130,True,False,False,False,False,False,False,False,False,True,"(41.84678, -87.648088)",41.84678,-87.648088
141,30189,Harlem (Forest Pk Branch) (O'Hare-bound),Harlem,40980,False,False,True,False,False,False,False,False,False,False,"(41.87349, -87.806961)",41.87349,-87.806961
142,30146,Harlem (O'Hare Branch) (Forest Pk-bound),Harlem,40750,True,False,True,False,False,False,False,False,False,False,"(41.98227, -87.8089)",41.98227,-87.8089
143,30145,Harlem (O'Hare Branch) (O'Hare-bound),Harlem,40750,True,False,True,False,False,False,False,False,False,False,"(41.98227, -87.8089)",41.98227,-87.8089
144,30190,Harlem (Forest Pk Branch) (Terminal arrival),Harlem,40980,False,False,True,False,False,False,False,False,False,False,"(41.87349, -87.806961)",41.87349,-87.806961
145,30003,Harlem (63rd-bound),Harlem/Lake,40020,True,False,False,True,False,False,False,False,False,False,"(41.886848, -87.803176)",41.886848,-87.803176
146,30004,Harlem (Terminal arrival),Harlem/Lake,40020,True,False,False,True,False,False,False,False,False,False,"(41.886848, -87.803176)",41.886848,-87.803176
147,30165,H.W. Library (Outer Loop),Harold Washington Library-State/Van Buren,40850,True,False,False,False,True,False,False,False,False,False,"(41.876862, -87.628196)",41.876862,-87.628196
148,30166,H.W. Library (Inner Loop),Harold Washington Library-State/Van Buren,40850,True,False,False,False,False,False,True,False,True,True,"(41.876862, -87.628196)",41.876862,-87.628196
149,30286,Harrison (95th-bound),Harrison,41490,False,True,False,False,False,False,False,False,False,False,"(41.874039, -87.627479)",41.874039,-87.627479
150,30285,Harrison (Howard-bound),Harrison,41490,False,True,False,False,False,False,False,False,False,False,"(41.874039, -87.627479)",41.874039,-87.627479
151,30173,Howard (Terminal arrival),Howard,40900,True,True,False,False,False,False,False,False,False,False,"(42.019063, -87.672892)",42.019063,-87.672892
152,30176,Howard (Terminal arrival),Howard,40900,True,False,False,False,False,True,True,True,False,False,"(42.019063, -87.672892)",42.019063,-87.672892
153,30175,"Howard (Linden, Skokie-bound)",Howard,40900,True,False,False,False,False,True,True,True,False,False,"(42.019063, -87.672892)",42.019063,-87.672892
154,30174,Howard (95th-Bound),Howard,40900,True,True,False,False,False,False,False,False,False,False,"(42.019063, -87.672892)",42.019063,-87.672892
155,30157,Illinois Medical District (O'Hare-bound),Illinois Medical District,40810,True,False,True,False,False,False,False,False,False,False,"(41.875706, -87.673932)",41.875706,-87.673932
156,30158,Illinois Medical District (Forest Pk-bound),Illinois Medical District,40810,True,False,True,False,False,False,False,False,False,False,"(41.875706, -87.673932)",41.875706,-87.673932
157,30059,Indiana (63rd-bound),Indiana,40300,True,False,False,True,False,False,False,False,False,False,"(41.821732, -87.621371)",41.821732,-87.621371
158,30058,Indiana (Harlem-bound),Indiana,40300,True,False,False,True,False,False,False,False,False,False,"(41.821732, -87.621371)",41.821732,-87.621371
159,30282,Irving Park (Loop-bound),Irving Park,41460,True,False,False,False,True,False,False,False,False,False,"(41.954521, -87.674868)",41.954521,-87.674868
160,30107,Irving Park (O'Hare Branch) (O'Hare-bound),Irving Park,40550,False,False,True,False,False,False,False,False,False,False,"(41.952925, -87.729229)",41.952925,-87.729229
161,30108,Irving Park (O'Hare Branch) (Forest Pk-bound),Irving Park,40550,False,False,True,False,False,False,False,False,False,False,"(41.952925, -87.729229)",41.952925,-87.729229
162,30281,Irving Park (Kimball-bound),Irving Park,41460,True,False,False,False,True,False,False,False,False,False,"(41.954521, -87.674868)",41.954521,-87.674868
163,30014,Jackson/Dearborn (O'Hare-bound),Jackson,40070,True,False,True,False,False,False,False,False,False,False,"(41.878183, -87.629296)",41.878183,-87.629296
164,30110,Jackson/State (95th-bound),Jackson,40560,True,True,False,False,False,False,False,False,False,False,"(41.878153, -87.627596)",41.878153,-87.627596
165,30109,Jackson/State (Howard-bound),Jackson,40560,True,True,False,False,False,False,False,False,False,False,"(41.878153, -87.627596)",41.878153,-87.627596
166,30015,Jackson/Dearborn (Forest Pk-bound),Jackson,40070,True,False,True,False,False,False,False,False,False,False,"(41.878183, -87.629296)",41.878183,-87.629296
167,30227,Jarvis (Howard-bound),Jarvis,41190,False,True,False,False,False,False,False,False,False,False,"(42.015876, -87.669092)",42.015876,-87.669092
168,30228,Jarvis (95th-bound),Jarvis,41190,False,True,False,False,False,False,False,False,False,False,"(42.015876, -87.669092)",42.015876,-87.669092
169,30247,Jefferson Park (O'Hare-bound),Jefferson Park,41280,True,False,True,False,False,False,False,False,False,False,"(41.970634, -87.760892)",41.970634,-87.760892
170,30248,Jefferson Park (Forest Pk-bound),Jefferson Park,41280,True,False,True,False,False,False,False,False,False,False,"(41.970634, -87.760892)",41.970634,-87.760892
171,30226,Kedzie (Loop-bound),Kedzie,41180,True,False,False,False,True,False,False,False,False,False,"(41.965996, -87.708821)",41.965996,-87.708821
172,30219,Kedzie (Loop-bound),Kedzie,41150,True,False,False,False,False,False,False,False,False,True,"(41.804236, -87.704406)",41.804236,-87.704406
173,30220,Kedzie (Midway-bound),Kedzie,41150,True,False,False,False,False,False,False,False,False,True,"(41.804236, -87.704406)",41.804236,-87.704406
174,30202,Kedzie (54th/Cermak-bound),Kedzie,41040,True,False,False,False,False,False,False,False,True,False,"(41.853964, -87.705408)",41.853964,-87.705408
175,30201,Kedzie (Loop-bound),Kedzie,41040,True,False,False,False,False,False,False,False,True,False,"(41.853964, -87.705408)",41.853964,-87.705408
176,30225,Kedzie (Kimball-bound),Kedzie,41180,True,False,False,False,True,False,False,False,False,False,"(41.965996, -87.708821)",41.965996,-87.708821
177,30207,Kedzie (63rd-bound),Kedzie,41070,True,False,False,True,False,False,False,False,False,False,"(41.884321, -87.706155)",41.884321,-87.706155
178,30208,Kedzie (Harlem-bound),Kedzie,41070,True,False,False,True,False,False,False,False,False,False,"(41.884321, -87.706155)",41.884321,-87.706155
179,30049,Kedzie-Homan (Forest Pk-bound),Kedzie-Homan,40250,True,False,True,False,False,False,False,False,False,False,"(41.874341, -87.70604)",41.874341,-87.70604
180,30048,Kedzie-Homan (O'Hare-bound),Kedzie-Homan,40250,True,False,True,False,False,False,False,False,False,False,"(41.874341, -87.70604)",41.874341,-87.70604
181,30249,Kimball (Terminal arrival),Kimball,41290,True,False,False,False,True,False,False,False,False,False,"(41.967901, -87.713065)",41.967901,-87.713065
182,30250,Kimball (Loop-bound),Kimball,41290,True,False,False,False,True,False,False,False,False,False,"(41.967901, -87.713065)",41.967901,-87.713065
183,30217,King Drive (Cottage Grove-bound),King Drive,41140,True,False,False,True,False,False,False,False,False,False,"(41.78013, -87.615546)",41.78013,-87.615546
184,30218,King Drive (Harlem-bound),King Drive,41140,True,False,False,True,False,False,False,False,False,False,"(41.78013, -87.615546)",41.78013,-87.615546
185,30117,Kostner (Loop-bound),Kostner,40600,True,False,False,False,False,False,False,False,True,False,"(41.853751, -87.733258)",41.853751,-87.733258
186,30118,Kostner (54th/Cermak-bound),Kostner,40600,True,False,False,False,False,False,False,False,True,False,"(41.853751, -87.733258)",41.853751,-87.733258
187,30290,Lake (95th-bound),Lake,41660,True,True,False,False,False,False,False,False,False,False,"(41.884809, -87.627813)",41.884809,-87.627813
188,30289,Lake (Howard-bound),Lake,41660,True,True,False,False,False,False,False,False,False,False,"(41.884809, -87.627813)",41.884809,-87.627813
189,30135,Laramie (63rd-bound),Laramie,40700,True,False,False,True,False,False,False,False,False,False,"(41.887163, -87.754986)",41.887163,-87.754986
190,30136,Laramie (Harlem-bound),Laramie,40700,True,False,False,True,False,False,False,False,False,False,"(41.887163, -87.754986)",41.887163,-87.754986
191,30262,LaSalle (Forest Pk-bound),LaSalle,41340,False,False,True,False,False,False,False,False,False,False,"(41.875568, -87.631722)",41.875568,-87.631722
192,30261,LaSalle (O'Hare-bound),LaSalle,41340,False,False,True,False,False,False,False,False,False,False,"(41.875568, -87.631722)",41.875568,-87.631722
193,30030,LaSalle/Van Buren (Outer Loop),LaSalle/Van Buren,40160,False,False,False,False,True,False,False,False,False,False,"(41.8768, -87.631739)",41.8768,-87.631739
194,30031,LaSalle/Van Buren (Inner Loop),LaSalle/Van Buren,40160,False,False,False,False,False,False,True,False,True,True,"(41.8768, -87.631739)",41.8768,-87.631739
195,30149,Lawrence (Howard-bound),Lawrence,40770,False,True,False,False,False,False,False,False,False,False,"(41.969139, -87.658493)",41.969139,-87.658493
196,30150,Lawrence (95th-bound),Lawrence,40770,False,True,False,False,False,False,False,False,False,False,"(41.969139, -87.658493)",41.969139,-87.658493
