,RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical,F12,F13,LOCATION
3101,4722,4000 W Lake St,28,26,West Garfield Park,1,41.885577,-87.72606,1,41.885577,-87.72606,"(41.885577, -87.726060)"
3102,2344,4001 N Cicero Ave,45,15,Portage Park,1,41.953463,-87.747222,1,41.953463,-87.747222,"(41.953463, -87.747222)"
3103,3467,4001 N Milwaukee Ave,45,15,Portage Park,4,41.953629,-87.747406,1,41.953629,-87.747406,"(41.953629, -87.747406)"
3104,3768,4001 W Roosevelt Rd,24,29,North Lawndale,1,41.86612,-87.725212,1,41.86612,-87.725212,"(41.866120, -87.725212)"
3105,3024,4003 S Indiana Ave,3,38,Grand Boulevard,1,41.821793,-87.621371,1,41.821793,-87.621371,"(41.821793, -87.621371)"
3106,2006,4004 W Addison St,30,16,Irving Park,1,41.946519,-87.727639,1,41.946519,-87.727639,"(41.946519, -87.727639)"
3107,5485,4005 N Southport Ave,47,6,Lake View,1,41.954565,-87.663988,1,41.954565,-87.663988,"(41.954565, -87.663988)"
3108,1368,4005 W 27th St,22,30,South Lawndale,2,41.842271,-87.724777,1,41.842271,-87.724777,"(41.842271, -87.724777)"
3109,816,401 E 69th St,6,69,Greater Grand Crossing,1,41.769234,-87.615206,0,41.769234,-87.615206,"(41.769234, -87.615206)"
3110,3023,401 E Illinois St,42,8,Near North Side,2,41.890941,-87.617397,1,41.890941,-87.617397,"(41.890941, -87.617397)"
3111,3619,401 E Ontario St,42,8,Near North Side,3,41.893328,-87.617413,1,41.893328,-87.617413,"(41.893328, -87.617413)"
3112,2275,401 N Central Ave,28,25,Austin,1,41.887342,-87.765041,1,41.887342,-87.765041,"(41.887342, -87.765041)"
3113,263,401 N Franklin St,42,8,Near North Side,1,41.889233,-87.635383,0,41.889233,-87.635383,"(41.889233, -87.635383)"
3114,3977,401 N Wabash Ave,42,8,Near North Side,4,41.889211,-87.626673,1,41.889211,-87.626673,"(41.889211, -87.626673)"
3115,3997,401 N Wabash Ave,42,8,Near North Side,4,41.889211,-87.626673,1,41.889211,-87.626673,"(41.889211, -87.626673)"
3116,2558,401 S Dearborn St,2,32,Loop,3,41.876772,-87.629107,1,41.876772,-87.629107,"(41.876772, -87.629107)"
3117,274,401 S LaSalle St,2,32,Loop,1,41.87686,-87.631703,0,41.87686,-87.631703,"(41.876860, -87.631703)"
3118,3390,401 S Michigan Ave,2,32,Loop,3,41.876922,-87.624071,1,41.876922,-87.624071,"(41.876922, -87.624071)"
3119,3398,401 S Michigan Ave,2,32,Loop,4,41.876922,-87.624071,1,41.876922,-87.624071,"(41.876922, -87.624071)"
3120,3974,401 S Wabash Ave,2,32,Loop,3,41.876838,-87.625904,1,41.876838,-87.625904,"(41.876838, -87.625904)"
3121,1323,401 W 111th St,34,49,Roseland,1,41.692413,-87.633039,1,41.692413,-87.633039,"(41.692413, -87.633039)"
3122,4414,401 W 123rd St,34,53,West Pullman,5,41.670563,-87.632188,1,41.670563,-87.632188,"(41.670563, -87.632188)"
3123,962,401 W Ontario St,42,8,Near North Side,1,41.892989,-87.638772,0,41.892989,-87.638772,"(41.892989, -87.638772)"
3124,5026,401 W Superior St,42,8,Near North Side,2,41.89537,-87.638704,1,41.89537,-87.638704,"(41.895370, -87.638704)"
3125,3920,401 W Surf St,44,6,Lake View,1,41.934172,-87.639495,1,41.934172,-87.639495,"(41.934172, -87.639495)"
3126,7235,4010 W 26th St,22,30,South Lawndale,1,41.844333,-87.725015,0,41.844333,-87.725015,"(41.844333, -87.725015)"
3127,5420,4013 W Armitage Ave,30,20,Hermosa,2,41.91702,-87.727096,1,41.91702,-87.727096,"(41.917020, -87.727096)"
